,run_id,runner_id,game_id,category_id,level_id,run_time,timestamp,system_id,url,run_views
0,7z0q2em5,dx351yqj,o1y9wo6q,wkpoo02r,,6233.0,2014-04-23,w89rwelk,https://www.youtube.com/watch?v=BL1pzbTBXTs&,53175
1,8y8pl1z1,[us]Deftek,o1y9wo6q,wkpoo02r,,6277.0,,w89rwelk,https://www.youtube.com/watch?v=uWb-6aHKeUc,
2,oy2w65yd,[jp]はちみつ (Honey),o1y9wo6q,wkpoo02r,,6290.0,2013-02-17,w89rwelk,https://www.youtube.com/watch?v=vLipXAptE5Q,9778
3,7z0q29m5,v814mkp8,o1y9wo6q,wkpoo02r,,6305.0,2014-11-24,w89rwelk,https://www.twitch.tv/videos/43169843,
4,0y6ew6z7,zxzvprjq,o1y9wo6q,wkpoo02r,,6314.0,2016-05-31,w89rwelk,https://www.youtube.com/watch?v=0I9I5d7ke9g,448
5,8y8pldz1,v81q6w3j,o1y9wo6q,wkpoo02r,,6343.0,2014-10-11,w89rwelk,https://www.twitch.tv/bebopbandit/v/47471473,
6,8yvxeozo,Hampern,o1y9wo6q,wkpoo02r,,6352.0,2014-04-18,w89rwelk,,
7,0znx67yn,kj9ylvx4,o1y9wo6q,wkpoo02r,,6290.0,2015-06-19,w89rwelk,http://www.twitch.tv/liveegg/v/6344613,
8,2ywxo3m4,18ql07jn,o1y9wo6q,wkpoo02r,,6355.0,,w89rwelk,,
9,6yj9rdzd,pj02nmw8,o1y9wo6q,wkpoo02r,,6129.0,2015-03-06,w89rwelk,https://www.twitch.tv/nero_x2/v/41088837,
10,7ylx2nyp,y8dg7l86,o1y9wo6q,wkpoo02r,,6327.0,2015-01-28,w89rwelk,https://www.twitch.tv/noizeeh/v/41785592,
11,pzgo1em2,18vmme8l,o1y9wo6q,wkpoo02r,,6411.0,2014-10-20,w89rwelk,http://www.twitch.tv/pobo3/v/45286251,
12,9megd0y7,[jp]でさんと (Descente),o1y9wo6q,wkpoo02r,,6302.0,2016-05-05,w89rwelk,https://www.youtube.com/watch?v=8-58h2fWPk8&feature=youtu.be,379
13,9yox80yx,y8d4po86,o1y9wo6q,wkpoo02r,,6472.0,2013-11-03,w89rwelk,https://www.youtube.com/watch?v=FtvI5ZUydeU,5322
14,wzpxvxmq,[jp]平ボム (Hirabomb),o1y9wo6q,wkpoo02r,,6436.0,2014-12-30,w89rwelk,,
15,pydlpvzn,5j52e9qj,o1y9wo6q,wkpoo02r,,6348.0,2015-04-28,w89rwelk,http://www.nicovideo.jp/watch/sm26128570,
16,jy9dgem4,0jm7n3nj,o1y9wo6q,wkpoo02r,,6504.0,2014-11-14,w89rwelk,https://www.twitch.tv/phantaxx/v/44859608,
17,nz1n07ye,[jp]アキラ (Akira),o1y9wo6q,wkpoo02r,,6534.0,2013-06-11,w89rwelk,https://www.youtube.com/watch?v=sRyjVKQ_nsI,
18,emk1xxy6,Balls Out,o1y9wo6q,wkpoo02r,,6538.0,2014-03-16,w89rwelk,,
19,8m7oj4y0,[jp]Teguru,o1y9wo6q,wkpoo02r,,6477.0,2015-03-28,w89rwelk,http://www.nicovideo.jp/watch/sm25897331,
20,9mrxwgmq,48gr9rpx,o1y9wo6q,wkpoo02r,,6567.0,2013-11-29,w89rwelk,http://www.speedrunslive.com/races/result/#!/76505,
21,kz5g45mr,[jp]Melty,o1y9wo6q,wkpoo02r,,6574.0,,w89rwelk,https://www.youtube.com/watch?v=skx5-ATV2zQ,794
22,pm3j4dz0,[jp]れいる (Reil),o1y9wo6q,wkpoo02r,,6582.0,2014-05-11,w89rwelk,http://www.nicovideo.jp/watch/sm23532504,
23,dy4l43zl,zx7gnyx7,o1y9wo6q,wkpoo02r,,6414.0,2015-01-18,w89rwelk,http://www.twitch.tv/dwhatever/c/5906948,
24,1zqqorzl,y8dwdegj,o1y9wo6q,wkpoo02r,,6597.0,2014-10-12,w89rwelk,https://www.youtube.com/watch?v=CeZkOBrxVe8,203
25,oy2w45yd,[jp]ryou,o1y9wo6q,wkpoo02r,,6599.0,2012-12-02,w89rwelk,https://www.youtube.com/watch?v=P36cRivA_sg,1177
26,7z0q49m5,xz9k6ye8,o1y9wo6q,wkpoo02r,,6599.0,2013-08-14,w89rwelk,https://www.youtube.com/watch?v=oGLRNfriaNU,415
27,0y6e46z7,zx76v0j7,o1y9wo6q,wkpoo02r,,6619.0,2014-10-06,w89rwelk,https://www.twitch.tv/videos/47544176,
28,8y8p4dz1,e8e6edj0,o1y9wo6q,wkpoo02r,,6652.0,2014-10-21,w89rwelk,https://www.youtube.com/watch?v=uduLRgdkU4I,266
29,8yvxkozo,[jp]サスライノぷぅ (Sasurainopū),o1y9wo6q,wkpoo02r,,6657.0,,w89rwelk,,
30,2ywx73m4,[jp]C.R.H,o1y9wo6q,wkpoo02r,,6695.0,2012-05-05,w89rwelk,https://www.youtube.com/watch?v=urLBn3NYyBw,417
31,pzgo0em2,kj9lkowj,o1y9wo6q,wkpoo02r,,6258.0,2015-06-27,w89rwelk,https://www.youtube.com/watch?v=tvMHJrZ71o4,1966
32,9meg50y7,o863r08z,o1y9wo6q,wkpoo02r,,6732.0,2014-05-12,w89rwelk,,
33,9yoxg0yx,[jp]シゲル (Shigeru),o1y9wo6q,wkpoo02r,,6760.0,2011-01-01,w89rwelk,,
34,pydlxvzn,8l00pll8,o1y9wo6q,wkpoo02r,,6817.0,2012-06-18,w89rwelk,http://www.speedrunslive.com/races/result/#!/18948,
35,nz1n47ye,qj26mlxk,o1y9wo6q,wkpoo02r,,6858.0,2014-04-02,w89rwelk,https://www.youtube.com/watch?v=1ZjGAGRP5jY,
36,8m7o44y0,[jp]せせらぎ (Seseragi),o1y9wo6q,wkpoo02r,,6859.0,,w89rwelk,,
37,1zxxrezx,[jp]白井 (Shirai),o1y9wo6q,wkpoo02r,,6886.0,2012-12-07,w89rwelk,http://www.nicovideo.jp/watch/sm19532071,
38,pm3jpdz0,v8lez14x,o1y9wo6q,wkpoo02r,,6938.0,2014-01-01,w89rwelk,,
39,dy4ld3zl,o866w58z,o1y9wo6q,wkpoo02r,,6946.0,2013-09-30,w89rwelk,,
40,1zqqlrzl,[jp]Hayato,o1y9wo6q,wkpoo02r,,6669.0,2015-09-05,w89rwelk,,
41,oy2wo5yd,18vomvxl,o1y9wo6q,wkpoo02r,,6957.0,,w89rwelk,https://www.youtube.com/watch?v=n05fTxj5oXo,164
42,0y6e16z7,[jp]ハコ (Hako),o1y9wo6q,wkpoo02r,,7000.0,,w89rwelk,,
43,8y8p7dz1,kjpk4kxq,o1y9wo6q,wkpoo02r,,6934.0,2014-12-10,w89rwelk,http://www.twitch.tv/moodehh/b/597875900,
44,8yvxdozo,[jp]エアリア (Area),o1y9wo6q,wkpoo02r,,6875.0,2015-03-25,w89rwelk,,
45,2ywx93m4,[jp]鳩ぽっぽ (Hatopoppo),o1y9wo6q,wkpoo02r,,7047.0,2013-01-01,w89rwelk,,
46,7ylx8nyp,kj9rv7j4,o1y9wo6q,wkpoo02r,,7053.0,,w89rwelk,,
47,pzgo5em2,[jp]うひー (Why),o1y9wo6q,wkpoo02r,,7056.0,2012-09-17,w89rwelk,http://www.youtube.com/watch?v=kyNINzlU45M,2211297
48,9megq0y7,Saellan,o1y9wo6q,wkpoo02r,,7066.0,2014-05-03,w89rwelk,https://www.twitch.tv/saellan/v/49384363,
49,9yoxw0yx,qj26qnxk,o1y9wo6q,wkpoo02r,,7098.0,2014-04-07,w89rwelk,https://www.youtube.com/watch?v=e5Mu6AX8vOw,2988
50,wzpxjxmq,qj26pqnx,o1y9wo6q,wkpoo02r,,7099.0,2013-04-08,w89rwelk,,
51,pydl7vzn,zxzzzrxq,o1y9wo6q,wkpoo02r,,7100.0,2014-11-01,w89rwelk,https://www.youtube.com/watch?v=v7wiMjXeNMY,
52,emk16xy6,e8e9ze2j,o1y9wo6q,wkpoo02r,,6809.0,2015-05-09,w89rwelk,https://www.youtube.com/watch?v=kGXyUz3-AlU,52
